Anos;Total;Hotéis;Pensões;Estalagens;Pousadas;Motéis;Hotéis-apartamentos;Aldeamentos turísticos;Apartamentos turísticos;Alojamento Local;Turismo de habitação e no espaço rural
1962;1310;192;1066;0;0;0;0;0;0;0;0
1963;1300;194;1049;0;0;0;0;0;0;0;0
1964;1320;208;1043;0;0;0;0;0;0;0;0
1965;1320;212;1029;0;0;0;0;0;0;0;0
1966;1323;221;1021;63;18;0;0;0;0;0;0
1967;1322;0;1005;71;18;0;0;0;0;0;0
1968;1337;0;1008;68;18;0;0;0;0;0;0
1969;1347;0;1004;73;18;0;0;0;0;0;0
1970;1375;0;1019;76;17;0;0;0;0;0;0
1971;1370;0;1014;74;16;0;0;0;0;0;0
1972;1426;0;1053;77;21;0;0;0;0;0;0
1973;1448;264;1051;81;22;15;15;0;0;0;0
1974;1490;259;1097;78;23;15;18;0;0;0;0
1975;1429;258;1033;75;22;17;24;0;0;0;0
1976;1436;266;1026;73;24;17;30;0;0;0;0
1977;1420;269;1008;74;23;16;30;0;0;0;0
1978;1421;266;1010;73;25;14;33;0;0;0;0
1979;1455;267;996;71;24;13;0;0;0;0;0
1980;1456;266;988;68;26;13;33;0;0;0;0
1981;1424;272;951;67;24;12;30;0;0;0;0
1982;1439;277;941;68;27;13;34;0;0;0;0
1983;1421;278;924;59;28;12;35;0;0;0;0
1984;1478;288;955;62;29;15;38;0;0;0;0
1985;1481;289;961;64;29;14;38;0;0;0;0
1986;1538;307;975;63;31;16;44;0;0;0;0
1987;1574;320;988;62;32;15;47;29;81;0;0
1988;1634;328;1010;65;33;15;53;31;99;0;0
1989;1701;339;1045;65;33;16;61;30;112;0;0
1990;1758;351;1068;64;33;17;70;29;126;0;0
1991;1785;367;1065;61;33;18;76;31;134;0;0
1992;1777;384;1029;63;32;18;83;26;142;0;0
1993;1777;387;1023;65;35;17;85;31;134;0;0
1994;1728;404;947;65;36;16;92;31;137;0;0
1995;1733;417;937;62;36;14;96;29;142;0;0
1996;1744;429;927;62;39;16;99;29;143;0;0
1997;1768;444;913;65;45;19;101;32;149;0;0
1998;1754;457;870;73;46;18;107;30;153;0;0
1999;1772;465;874;76;47;19;112;31;148;0;0
2000;1786;483;862;78;46;19;118;33;147;0;0
2001;1895;507;890;83;47;19;123;35;191;0;0
2002;1890;520;857;83;45;17;123;33;212;0;0
2003;1934;546;873;86;45;19;120;31;214;0;0
2004;1954;563;874;89;42;19;127;31;209;0;0
2005;2012;607;878;97;42;18;127;33;210;0;0
2006;2028;622;877;100;42;22;132;31;202;0;0
2007;2031;634;874;100;42;22;134;28;197;0;0
2008;2041;659;847;100;42;22;132;33;206;0;0
2009;1988;681;804;94;41;23;128;33;184;0;0
2010;2011;771;737;85;40;20;137;38;183;0;0
2011;2019;873;656;67;39;16;144;40;184;0;0
2012;2028;988;551;51;36;12;150;45;195;0;0
2013;3345;1039;0;7;35;0;145;44;192;1051;832
2014;3578;1121;0;8;35;0;145;46;195;1145;883
2015;4339;1164;0;8;36;0;141;45;197;1450;1298
2016;4805;1237;0;8;36;0;143;52;193;1831;1305
2017;5840;1309;0;10;36;0;145;55;203;2663;1419
2018;6868;1400;0;0;0;0;152;56;211;3534;1469
